date,sentiment_score
2025-03-31,-0.907436728477478
2025-03-31,-0.907436728477478
2025-03-31,-0.907436728477478
2025-03-31,-0.907436728477478
2025-03-31,-0.907436728477478
2025-03-31,-0.907436728477478
2025-03-31,-0.907436728477478
2025-03-31,-0.907436728477478
2025-03-31,-0.907436728477478
2025-03-31,-0.907436728477478
2025-03-31,-0.907436728477478
2025-03-31,-0.907436728477478
2025-03-31,-0.907436728477478
2025-03-31,-0.8941569328308105
2025-03-31,-0.907436728477478
2025-03-31,-0.907436728477478
2025-03-31,0.0
2025-03-31,0.0
2025-03-31,0.023292357102036476
2025-03-31,0.0
2025-03-31,-0.8734074831008911
2025-03-31,-0.8847512602806091
2025-03-31,-0.8866381049156189
2025-03-31,-0.8798618912696838
2025-03-31,-0.8806893229484558
2025-03-31,0.0
2025-03-31,-0.05635036528110504
2025-03-31,0.0
2025-03-31,-0.8794198632240295
2025-03-31,-0.8881409764289856
2025-03-31,-0.8881409764289856
2025-03-31,-0.8847514986991882
2025-03-31,-0.8797093629837036
2025-03-31,-0.8849714398384094
2025-03-31,-0.8842020034790039
2025-03-31,-0.8881409764289856
2025-03-31,-0.8881409764289856
2025-03-31,-0.16591498255729675
2025-03-31,-0.9091386198997498
2025-03-31,-0.8881409764289856
2025-03-31,-0.8881409764289856
2025-03-31,-0.8931198716163635
2025-03-31,-0.8526013493537903
2025-03-31,-0.8803170323371887
2025-03-31,-0.8786394596099854
2025-03-31,-0.12843796610832214
2025-03-31,-0.8393808603286743
2025-03-31,-0.054270096123218536
2025-03-31,-0.8425366878509521
2025-03-31,-0.9091386198997498
2025-03-31,-0.9101405143737793
2025-03-31,-0.8616262078285217
2025-03-31,-0.8849714398384094
2025-03-31,-0.8849140405654907
2025-03-31,-0.8849714398384094
2025-03-31,-0.8881409764289856
2025-03-31,-0.8384188413619995
2025-03-31,-0.8849714398384094
2025-03-31,-0.8983428478240967
2025-03-31,-0.9091386198997498
2025-03-31,-0.8881409764289856
2025-03-31,-0.8849140405654907
2025-03-31,-0.8849140405654907
2025-03-31,-0.08814545720815659
2025-03-31,-0.8881409764289856
2025-03-31,-0.8849140405654907
2025-03-31,-0.06308188289403915
2025-03-31,-0.8889138102531433
2025-03-31,-0.8849140405654907
2025-03-31,-0.8849140405654907
2025-03-31,-0.8806363940238953
2025-03-31,-0.8726727962493896
2025-03-31,-0.3756154179573059
2025-03-31,-0.8783972263336182
2025-03-31,-0.8661320209503174
2025-03-31,0.0
2025-03-31,0.0
2025-03-31,0.0
2025-03-31,-0.8847514986991882
2025-03-31,0.0
2025-03-31,-0.016958555206656456
2025-03-31,0.0
2025-03-31,-0.906844437122345
2025-03-31,0.0
2025-03-31,0.0
2025-03-31,-0.8909525275230408
2025-03-31,-0.7866435647010803
2025-03-31,-0.8037275075912476
2025-03-31,-0.8229319453239441
2025-03-31,0.0
2025-03-31,-0.8883817791938782
2025-03-31,-0.8872641921043396
2025-03-31,-0.9024739861488342
2025-03-31,-0.8679506778717041
2025-03-31,0.0
2025-03-31,-0.048513565212488174
2025-03-31,0.0
2025-03-31,-0.8241575360298157
2025-03-31,-0.039077531546354294
2025-03-31,-0.8909238576889038
2025-04-01,-0.03019005060195923
2025-04-01,0.01177879050374031
2025-04-01,0.7430983185768127
2025-04-01,-0.21930500864982605
2025-04-01,-0.19483782351016998
2025-04-01,0.0
2025-04-01,-0.19483782351016998
2025-04-01,0.0
2025-04-01,-0.31960955262184143
2025-04-01,-0.06435974687337875
2025-04-01,0.0
2025-04-01,0.0
2025-04-01,0.0
2025-04-01,-0.7478901147842407
2025-04-01,-0.7478901147842407
2025-04-01,-0.35640180110931396
2025-04-01,0.0
2025-04-01,0.054574355483055115
2025-04-01,0.0
2025-04-01,0.0
2025-04-01,0.0
2025-04-01,-0.7534189224243164
2025-04-01,0.0
2025-04-01,0.0
2025-04-01,-0.7534189224243164
2025-04-01,0.08055894076824188
2025-04-01,0.0
2025-04-01,0.08499719202518463
2025-04-01,0.07655639946460724
2025-04-01,0.08055894076824188
2025-04-01,0.09266027808189392
2025-04-01,0.0
2025-04-01,0.07679759711027145
2025-04-01,0.08055894076824188
2025-04-01,0.053478263318538666
2025-04-01,0.07740216702222824
2025-04-01,0.07012985646724701
2025-04-01,0.08734995871782303
2025-04-01,0.08862784504890442
2025-04-01,0.06559216976165771
2025-04-01,0.09108190983533859
2025-04-01,0.08734995871782303
2025-04-01,0.08862784504890442
2025-04-01,0.0655084028840065
2025-04-01,0.08055894076824188
2025-04-01,0.07954132556915283
2025-04-01,0.09410544484853745
2025-04-01,0.09410544484853745
2025-04-01,0.08055894076824188
2025-04-01,-0.06308188289403915
2025-04-01,0.04020360857248306
2025-04-01,0.09410544484853745
2025-04-01,0.08055894076824188
2025-04-01,0.09410544484853745
2025-04-01,0.0
2025-04-01,0.08055894076824188
2025-04-01,0.09410544484853745
2025-04-01,0.08734995871782303
2025-04-01,0.08734995871782303
2025-04-01,-0.040395572781562805
2025-04-01,0.08581634610891342
2025-04-01,0.06869778782129288
2025-04-01,0.08055894076824188
2025-04-01,0.08484536409378052
2025-04-01,0.05691882222890854
2025-04-01,0.07395422458648682
2025-04-01,0.09410544484853745
2025-04-01,0.08862784504890442
2025-04-01,-0.04007629305124283
2025-04-01,0.0
2025-04-01,-0.3628704249858856
2025-04-01,0.0
2025-04-01,-0.0842532068490982
2025-04-01,-0.0842532068490982
2025-04-01,0.0
2025-04-01,0.0
2025-04-01,0.0
2025-04-01,-0.13711105287075043
2025-04-01,0.0
